 S0066 , 3PARA RAT ,T1071,,T1071
 S0331 , Agent Tesla ,T1552.001,[Agent Tesla](https://attack.mitre.org/software/S0331) has the ability to extract credentials from configuration or support files.(Citation: SentinelLabs Agent Tesla Aug 2020) ,T1087
 S0331 , Agent Tesla ,T1552.002,[Agent Tesla](https://attack.mitre.org/software/S0331) has the ability to extract credentials from the Registry.(Citation: SentinelLabs Agent Tesla Aug 2020) ,T1087
 S0331 , Agent Tesla ,T1204,,T1087
 S0331 , Agent Tesla ,T1204.002,[Agent Tesla](https://attack.mitre.org/software/S0331) has been executed through malicious e-mail attachments (Citation: Bitdefender Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1125,[Agent Tesla](https://attack.mitre.org/software/S0331) can access the victim’s webcam and record video.(Citation: DigiTrust Agent Tesla Jan 2017)(Citation: Talos Agent Tesla Oct 2018),T1087
 S0331 , Agent Tesla ,T1497, [Agent Tesla](https://attack.mitre.org/software/S0331) has the ability to perform anti-sandboxing and anti-virtualization checks.(Citation: Malwarebytes Agent Tesla April 2020),T1087
 S0331 , Agent Tesla ,T1047,[Agent Tesla](https://attack.mitre.org/software/S0331) has used wmi queries to gather information from the system.(Citation: Bitdefender Agent Tesla April 2020) ,T1087
 S0092 , Agent.btz ,T1560,,T1560
 S0092 , Agent.btz ,T1560.003,[Agent.btz](https://attack.mitre.org/software/S0092) saves system information into an XML file that is then XOR-encoded.(Citation: ThreatExpert Agent.btz),T1560
 S0092 , Agent.btz ,T1052,,T1560
 S0092 , Agent.btz ,T1052.001,[Agent.btz](https://attack.mitre.org/software/S0092) creates a file named thumb.dd on all USB flash drives connected to the victim. This file contains information about the infected system and activity logs.(Citation: Securelist Agent.btz),T1560
 S0092 , Agent.btz ,T1105,[Agent.btz](https://attack.mitre.org/software/S0092) attempts to download an encrypted binary from a specified domain.(Citation: ThreatExpert Agent.btz),T1560
 S0092 , Agent.btz ,T1091,"[Agent.btz](https://attack.mitre.org/software/S0092) drops itself onto removable media devices and creates an autorun.inf file with an instruction to run that file. When the device is inserted into another system, it opens autorun.inf and loads the malware.(Citation: ThreatExpert Agent.btz)",T1560
 S0092 , Agent.btz ,T1016,"[Agent.btz](https://attack.mitre.org/software/S0092) collects the network adapter’s IP and MAC address as well as IP addresses of the network adapter’s default gateway, primary/secondary WINS, DHCP, and DNS servers, and saves them into a log file.(Citation: ThreatExpert Agent.btz)",T1560
 S0092 , Agent.btz ,T1033,[Agent.btz](https://attack.mitre.org/software/S0092) obtains the victim username and saves it to a file.(Citation: ThreatExpert Agent.btz),T1560
 S1129 , Akira ,T1059,,Akira
 S1129 , Akira ,T1059.001,[Akira](https://attack.mitre.org/software/S1129) will execute PowerShell commands to delete system volume shadow copies.(Citation: Kersten Akira 2023),Akira
 S1129 , Akira ,T1059.003,[Akira](https://attack.mitre.org/software/S1129) executes from the Windows command line and can take various arguments for execution.(Citation: Kersten Akira 2023),Akira
 S1129 , Akira ,T1486,[Akira](https://attack.mitre.org/software/S1129) encrypts victim filesystems for financial extortion purposes.(Citation: Kersten Akira 2023),Akira
 S1129 , Akira ,T1083,[Akira](https://attack.mitre.org/software/S1129) examines files prior to encryption to determine if they meet requirements for encryption and can be encrypted by the ransomware. These checks are performed through native Windows functions such as GetFileAttributesW.(Citation: Kersten Akira 2023),Akira
 S1129 , Akira ,T1490,[Akira](https://attack.mitre.org/software/S1129) will delete system volume shadow copies via PowerShell commands.(Citation: Kersten Akira 2023),Akira
 S1129 , Akira ,T1106,[Akira](https://attack.mitre.org/software/S1129) executes native Windows functions such as GetFileAttributesW and `GetSystemInfo`.(Citation: Kersten Akira 2023),Akira
 S1129 , Akira ,T1135,[Akira](https://attack.mitre.org/software/S1129) can identify remote file shares for encryption.(Citation: Kersten Akira 2023),Akira
 S1129 , Akira ,T1057,[Akira](https://attack.mitre.org/software/S1129) verifies the deletion of volume shadow copies by checking for the existence of the process ID related to the process created to delete these items.(Citation: Kersten Akira 2023),Akira
 S1129 , Akira ,T1082,[Akira](https://attack.mitre.org/software/S1129) uses the GetSystemInfo Windows function to determine the number of processors on a victim machine.(Citation: Kersten Akira 2023),Akira
 S1129 , Akira ,T1047,[Akira](https://attack.mitre.org/software/S1129) will leverage COM objects accessed through WMI during execution to evade detection.(Citation: Kersten Akira 2023),Akira
 S1025 , Amadey ,T1071,,Amadey
 S1025 , Amadey ,T1071.001,[Amadey](https://attack.mitre.org/software/S1025) has used HTTP for C2 communications.(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1547,,Amadey
 S1025 , Amadey ,T1547.001,[Amadey](https://attack.mitre.org/software/S1025) has changed the Startup folder to the one containing its executable by overwriting the registry keys.(Citation: Korean FSI TA505 2020)(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1005,[Amadey](https://attack.mitre.org/software/S1025) can collect information from a compromised host.(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1140,[Amadey](https://attack.mitre.org/software/S1025) has decoded antivirus name strings.(Citation: Korean FSI TA505 2020),Amadey
 S1025 , Amadey ,T1568,,Amadey
 S1025 , Amadey ,T1568.001,[Amadey](https://attack.mitre.org/software/S1025) has used fast flux DNS for its C2.(Citation: Korean FSI TA505 2020),Amadey
 S1025 , Amadey ,T1041,[Amadey](https://attack.mitre.org/software/S1025) has sent victim data to its C2 servers.(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1083,[Amadey](https://attack.mitre.org/software/S1025) has searched for folders associated with antivirus software.(Citation: Korean FSI TA505 2020),Amadey
 S1025 , Amadey ,T1105,[Amadey](https://attack.mitre.org/software/S1025) can download and execute files to further infect a host machine with additional malware.(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1112,[Amadey](https://attack.mitre.org/software/S1025) has overwritten registry keys for persistence.(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1106,"[Amadey](https://attack.mitre.org/software/S1025) has used a variety of Windows API calls, including `GetComputerNameA`, `GetUserNameA`, and `CreateProcessA`.(Citation: BlackBerry Amadey 2020)",Amadey
 S1025 , Amadey ,T1027,"[Amadey](https://attack.mitre.org/software/S1025) has obfuscated strings such as antivirus vendor names, domains, files, and others.(Citation: BlackBerry Amadey 2020)",Amadey
 S1025 , Amadey ,T1518,,Amadey
 S1025 , Amadey ,T1518.001,[Amadey](https://attack.mitre.org/software/S1025) has checked for a variety of antivirus products.(Citation: Korean FSI TA505 2020)(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1553,,Amadey
 S1025 , Amadey ,T1553.005,[Amadey](https://attack.mitre.org/software/S1025) has modified the `:Zone.Identifier` in the ADS area to zero.(Citation: Korean FSI TA505 2020),Amadey
 S1025 , Amadey ,T1082,[Amadey](https://attack.mitre.org/software/S1025) has collected the computer name and OS version from a compromised machine.(Citation: Korean FSI TA505 2020)(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1614,[Amadey](https://attack.mitre.org/software/S1025) does not run any tasks or install additional malware if the victim machine is based in Russia.(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1016,[Amadey](https://attack.mitre.org/software/S1025) can identify the IP address of a victim machine.(Citation: BlackBerry Amadey 2020),Amadey
 S1025 , Amadey ,T1033,[Amadey](https://attack.mitre.org/software/S1025) has collected the user name from a compromised host using `GetUserNameA`.(Citation: BlackBerry Amadey 2020),Amadey
 S0504 , Anchor ,T1071,,Anchor
 S0504 , Anchor ,T1071.001,[Anchor](https://attack.mitre.org/software/S0504) has used HTTP and HTTPS in C2 communications.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1071.004,Variants of [Anchor](https://attack.mitre.org/software/S0504) can use DNS tunneling to communicate with C2.(Citation: Cyberreason Anchor December 2019)(Citation: Medium Anchor DNS July 2020),Anchor
 S0504 , Anchor ,T1059,,Anchor
 S0504 , Anchor ,T1059.003,[Anchor](https://attack.mitre.org/software/S0504) has used cmd.exe to run its self deletion routine.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1059.004,[Anchor](https://attack.mitre.org/software/S0504) can execute payloads via shell scripting.(Citation: Medium Anchor DNS July 2020),Anchor
 S0504 , Anchor ,T1543,,Anchor
 S0504 , Anchor ,T1543.003,[Anchor](https://attack.mitre.org/software/S0504) can establish persistence by creating a service.(Citation: Cyberreason Anchor December 2019)	,Anchor
 S0504 , Anchor ,T1480,[Anchor](https://attack.mitre.org/software/S0504) can terminate itself if specific execution flags are not present.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1008,[Anchor](https://attack.mitre.org/software/S0504) can use secondary C2 servers for communication after establishing connectivity and relaying victim information to primary C2 servers.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1564,,Anchor
 S0504 , Anchor ,T1564.004,[Anchor](https://attack.mitre.org/software/S0504) has used NTFS to hide files.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1070,,Anchor
 S0504 , Anchor ,T1070.004,[Anchor](https://attack.mitre.org/software/S0504) can self delete its dropper after the malware is successfully deployed.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1105,[Anchor](https://attack.mitre.org/software/S0504) can download additional payloads.(Citation: Cyberreason Anchor December 2019)(Citation: Medium Anchor DNS July 2020),Anchor
 S0504 , Anchor ,T1095,[Anchor](https://attack.mitre.org/software/S0504) has used ICMP in C2 communications.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1027,[Anchor](https://attack.mitre.org/software/S0504) has obfuscated code with stack strings and string encryption.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1027.002,[Anchor](https://attack.mitre.org/software/S0504) has come with a packed payload.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1021,,Anchor
 S0504 , Anchor ,T1021.002,[Anchor](https://attack.mitre.org/software/S0504) can support windows execution via SMB shares.(Citation: Medium Anchor DNS July 2020),Anchor
 S0504 , Anchor ,T1053,,Anchor
 S0504 , Anchor ,T1053.003,[Anchor](https://attack.mitre.org/software/S0504) can install itself as a cron job.(Citation: Medium Anchor DNS July 2020),Anchor
 S0504 , Anchor ,T1053.005,[Anchor](https://attack.mitre.org/software/S0504) can create a scheduled task for persistence.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1553,,Anchor
 S0504 , Anchor ,T1553.002,[Anchor](https://attack.mitre.org/software/S0504) has been signed with valid certificates to evade detection by security tools.(Citation: Cyberreason Anchor December 2019),Anchor
 S0504 , Anchor ,T1082,[Anchor](https://attack.mitre.org/software/S0504) can determine the hostname and linux version on a compromised host.(Citation: Medium Anchor DNS July 2020),Anchor
 S0504 , Anchor ,T1016,[Anchor](https://attack.mitre.org/software/S0504) can determine the public IP and location of a compromised host.(Citation: Medium Anchor DNS July 2020),Anchor
 S0504 , Anchor ,T1569,,Anchor
 S0504 , Anchor ,T1569.002,[Anchor](https://attack.mitre.org/software/S0504) can create and execute services to load its payload.(Citation: Cyberreason Anchor December 2019)(Citation: Medium Anchor DNS July 2020),Anchor
 S1074 , ANDROMEDA ,T1071,,ANDROMEDA
 S1074 , ANDROMEDA ,T1071.001,[ANDROMEDA](https://attack.mitre.org/software/S1074) has the ability to make GET requests to download files from C2.(Citation: Mandiant Suspected Turla Campaign February 2023),ANDROMEDA
 S1074 , ANDROMEDA ,T1547,,ANDROMEDA
 S1074 , ANDROMEDA ,T1547.001,[ANDROMEDA](https://attack.mitre.org/software/S1074) can establish persistence by dropping a sample of itself to `C:\ProgramData\Local Settings\Temp\mskmde.com` and adding a Registry run key to execute every time a user logs on.(Citation: Mandiant Suspected Turla Campaign February 2023),ANDROMEDA
 S1074 , ANDROMEDA ,T1105,[ANDROMEDA](https://attack.mitre.org/software/S1074) can download additional payloads from C2.(Citation: Mandiant Suspected Turla Campaign February 2023),ANDROMEDA
 S1074 , ANDROMEDA ,T1036,,ANDROMEDA
 S1074 , ANDROMEDA ,T1036.005,[ANDROMEDA](https://attack.mitre.org/software/S1074) has been installed to `C:\Temp\TrustedInstaller.exe` to mimic a legitimate Windows installer service.(Citation: Mandiant Suspected Turla Campaign February 2023),ANDROMEDA
 S1074 , ANDROMEDA ,T1036.008,[ANDROMEDA](https://attack.mitre.org/software/S1074) has been delivered through a LNK file disguised as a folder.(Citation: Mandiant Suspected Turla Campaign February 2023),ANDROMEDA
 S1074 , ANDROMEDA ,T1055,[ANDROMEDA](https://attack.mitre.org/software/S1074) can inject into the `wuauclt.exe` process to perform C2 actions.(Citation: Mandiant Suspected Turla Campaign February 2023),ANDROMEDA
 S1074 , ANDROMEDA ,T1091,[ANDROMEDA](https://attack.mitre.org/software/S1074) has been spread via infected USB keys.(Citation: Mandiant Suspected Turla Campaign February 2023),ANDROMEDA
 S0584 , AppleJeus ,T1548,,AppleJeus
 S0584 , AppleJeus ,T1548.002,[AppleJeus](https://attack.mitre.org/software/S0584) has presented the user with a UAC prompt to elevate privileges while installing.(Citation: CISA AppleJeus Feb 2021),AppleJeus
 S0584 , AppleJeus ,T1071,,AppleJeus
 S0584 , AppleJeus ,T1071.001,[AppleJeus](https://attack.mitre.org/software/S0584) has sent data to its C2 server via POST requests.(Citation: CISA AppleJeus Feb 2021)(Citation: ObjectiveSee AppleJeus 2019),AppleJeus
 S0584 , AppleJeus ,T1059,,AppleJeus
 S0584 , AppleJeus ,T1059.004,[AppleJeus](https://attack.mitre.org/software/S0584) has used shell scripts to execute commands after installation and set persistence mechanisms.(Citation: CISA AppleJeus Feb 2021)(Citation: ObjectiveSee AppleJeus 2019),AppleJeus
 S0584 , AppleJeus ,T1543,,AppleJeus
 S0584 , AppleJeus ,T1543.003,[AppleJeus](https://attack.mitre.org/software/S0584) can install itself as a service.(Citation: CISA AppleJeus Feb 2021) ,AppleJeus
 S0584 , AppleJeus ,T1543.004,[AppleJeus](https://attack.mitre.org/software/S0584) has placed a plist file within the LaunchDaemons folder and launched it manually.(Citation: CISA AppleJeus Feb 2021)(Citation: ObjectiveSee AppleJeus 2019),AppleJeus
 S0584 , AppleJeus ,T1140,[AppleJeus](https://attack.mitre.org/software/S0584) has decoded files received from a C2.(Citation: CISA AppleJeus Feb 2021),AppleJeus
 S0584 , AppleJeus ,T1546,,AppleJeus
 S0584 , AppleJeus ,T1546.016,"During [AppleJeus](https://attack.mitre.org/software/S0584)'s installation process, it uses `postinstall` scripts to extract a hidden plist from the application's `/Resources` folder and execute the `plist` file as a [Launch Daemon](https://attack.mitre.org/techniques/T1543/004) with elevated permissions.(Citation: ObjectiveSee AppleJeus 2019)",AppleJeus
 S0584 , AppleJeus ,T1041,[AppleJeus](https://attack.mitre.org/software/S0584) has exfiltrated collected host information to a C2 server.(Citation: CISA AppleJeus Feb 2021),AppleJeus
